,Year,Temp. residence title according to Foreigners Act,Unlim. residence title according to Foreigners Act,Asylum,Refugee,Humanitarian,Total,All Protected Persons
0,1998,1570049,1444942,,,,,
1,1999,1573669,1513506,,,,,
2,2000,1558441,1551839,,,,82259540,
3,2001,1537565,1605292,,,,82440309,
4,2002,1526951,1663128,,,,82536680,
5,2003,1520939,1722872,,,,82531671,
6,2004,1294545,1575725,,,,82500849,
7,2005,835099,1412715,,,,82437995,
8,2006,481150,1216841,,,,82314906,
9,2007,309625,1014744,2230.0,47470.0,380.0,82217837,50080.0
10,2008,230211,861645,2190.0,37985.0,305.0,82002356,40480.0
11,2009,171027,730733,1940.0,33600.0,265.0,81802257,35805.0
12,2010,131175,640424,2025.0,31140.0,240.0,81751602,33405.0
13,2011,94180,502961,2085.0,28075.0,215.0,80327900,30375.0
14,2012,63554,356770,2380.0,28055.0,210.0,80523746,30645.0
15,2013,46390,249552,2830.0,32480.0,215.0,80767463,35525.0
16,2014,37647,178640,3820.0,50075.0,245.0,81197537,54140.0
17,2015,32711,135518,5195.0,123220.0,320.0,82175684,128735.0
18,2016,30535,120120,5750.0,360185.0,365.0,82521653,366300.0
19,2017,29165,110735,7870.0,510165.0,750.0,82792351,518785.0
